timestamp, index, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/03/11 17:18:09.486, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:09.690, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:09.921, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 408 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:10.126, 0, Tesla P100-PCIE-16GB, P0, 38, 11 %, 1 %, 0 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:10.330, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:10.534, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:10.737, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 408 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:10.941, 0, Tesla P100-PCIE-16GB, P0, 38, 11 %, 1 %, 0 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:11.146, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:11.349, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:11.588, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 408 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:11.791, 0, Tesla P100-PCIE-16GB, P0, 38, 12 %, 1 %, 0 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:11.995, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:12.198, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:12.417, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 408 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:12.621, 0, Tesla P100-PCIE-16GB, P0, 38, 12 %, 1 %, 0 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:12.827, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:13.031, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:13.235, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 408 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:13.438, 0, Tesla P100-PCIE-16GB, P0, 38, 12 %, 1 %, 0 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:13.642, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:13.846, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:14.062, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 408 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:14.266, 0, Tesla P100-PCIE-16GB, P0, 38, 12 %, 1 %, 0 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:14.469, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:14.673, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:14.901, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 408 MiB, 16384 MiB, 32.38 W, 1189 MHz, 715 MHz
2026/03/11 17:18:15.105, 0, Tesla P100-PCIE-16GB, P0, 38, 61 %, 0 %, 424 MiB, 16384 MiB, 35.50 W, 1316 MHz, 715 MHz
2026/03/11 17:18:15.309, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:15.512, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:15.716, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
